product,process,conjoined_flownames,location
"Natural gas, combusted in industrial equipment","Natural gas, combusted in industrial equipment@Northern America","Natural gas, combusted in industrial equipment, 1.357 m3/kg, 52.13 MJ/kg@Natural gas, combusted in industrial equipment@Northern America",Northern America
"Natural gas, extracted","Natural gas, extracted@Northern America","Natural gas, extracted, 0.7369 kg/m3@Natural gas, extracted@Northern America",Northern America
"Natural gas, processed, at plant","Natural gas, processed, at plant@Northern America","Natural gas, processed, at plant, 1.357 m3/kg@Natural gas, processed, at plant@Northern America",Northern America
"Natural gas, processed, for olefins production, at plant","Natural gas, processed, for olefins production, at plant@Northern America","Natural gas, processed, at plant, 0.7369 kg/m3@Natural gas, processed, for olefins production, at plant@Northern America",Northern America
"Natural soda ash (Sodium carbonate), at plant","Natural soda ash (Sodium carbonate), at plant@Natural soda ash (Sodium carbonate), at plant","Natural soda ash (Sodium carbonate), at plant@Natural soda ash (Sodium carbonate), at plant@United States",United States
"Nitrogen fertilizer, production mix, at plant","Nitrogen fertilizer, production mix, at plant@Northern America","Nitrogen fertilizer, production mix, at plant@Nitrogen fertilizer, production mix, at plant@Northern America",Northern America
Office scanner,Office scanner@Global,Office scanner@Office scanner@Global,Global
"Open mold casting, rigid composites part, at plant","Open mold casting, rigid composites part, at plant@Open mold casting, rigid composites part, at plant","Open mold casting, rigid composites part, at plant@Open mold casting, rigid composites part, at plant@Northern America",Northern America
"Open molding, rigid composites part, at plant","Open molding, rigid composites part, at plant@Open molding, rigid composites part, at plant","Open molding, rigid composites part, at plant@Open molding, rigid composites part, at plant@Northern America",Northern America
"Other, not specified, at cellulosic fiberboard plant","Other, not specified, at cellulosic fiberboard plant@Cellulosic fiberboard, uncoated, at plant","Other, not specified, at cellulosic fiberboard plant@Cellulosic fiberboard, uncoated, at plant@Northern America",Northern America
"Other, not specified, hardboard, at hardboard plant","Other, not specified, hardboard, at hardboard plant@Hardboard, at hardboard plant","Other, not specified, hardboard, at hardboard plant@Hardboard, at hardboard plant@Northern America",Northern America
Overburden (deposited),"Overburden (deposited)@Aluminum, cold rolling, at plant","Overburden (deposited)@Aluminum, cold rolling, at plant@Northern America",Northern America
"Oxygen, liquid, at plant","Oxygen, liquid, at plant@Northern America","Oxygen, liquid, at plant@Oxygen, liquid, at plant@Northern America",Northern America
"Packaging and information sheets, i2900 desktop scanner","Packaging and information sheets, i2900 desktop scanner@Global","Packaging and information sheets, i2900 desktop scanner@Packaging and information sheets, i2900 desktop scanner@Global",Global
"Packaging, Production Scanners","Packaging, Production Scanners@Global","Packaging, production scanners@Packaging, Production Scanners@Global",Global
"Palm kernel oil, processed, at plant","Palm kernel oil, processed, at plant@Northern America","Palm kernel oil, processed, at plant@Palm kernel oil, processed, at plant@Northern America",Northern America
"Palm kernels, at plant","Palm kernels, at plant@Northern America","Palm kernels, at plant@Palm kernels, at plant@Northern America",Northern America
"Paper, bag and sack, unbleached kraft, average production, at mill","Paper, bag and sack, unbleached kraft, average production, at mill@Paper, bag and sack, unbleached kraft, average production, at mill","Paper, bag and sack, unbleached kraft, average production, at mill@Paper, bag and sack, unbleached kraft, average production, at mill@Northern America",Northern America
"Paper, freesheet, coated, average production, at mill","Paper, freesheet, coated, average production, at mill@Paper, freesheet, coated, average production, at mill","Paper, freesheet, coated, average production, at mill@Paper, freesheet, coated, average production, at mill@Northern America",Northern America
"Paper, freesheet, uncoated, average production, at mill","Paper, freesheet, uncoated, average production, at mill@Paper, freesheet, uncoated, average production, at mill, 2006","Paper, freesheet, uncoated, average production, at mill@Paper, freesheet, uncoated, average production, at mill, 2006@Northern America",Northern America
"Paper, mechanical, coated, average production, at mill","Paper, mechanical, coated, average production, at mill@Paper, mechanical, coated, average production, at mill","Paper, mechanical, coated, average production, at mill@Paper, mechanical, coated, average production, at mill@Northern America",Northern America
"Paper, mechanical, uncoated, average production, at mill","Paper, mechanical, uncoated, average production, at mill@Paper, mechanical, uncoated, average production, at mill","Paper, mechanical, uncoated, average production, at mill@Paper, mechanical, uncoated, average production, at mill@Northern America",Northern America
"Paraxylene, at plant, kg","Paraxylene, at plant, kg@Paraxylene, at plant, kg","Paraxylene, at plant, kg@Paraxylene, at plant, kg@Northern America",Northern America
"Particleboard, average, softwood, particleboard mill","Particleboard, average, softwood, particleboard mill@Particleboard, average, softwood, particleboard mill","Particleboard, average, softwood, particleboard mill@Particleboard, average, softwood, particleboard mill@Northern America",Northern America
"Pesticide, corn, 2022","Pesticide, corn, 2022@Northern America","Pesticide, corn@Pesticide, corn, 2022@Northern America",Northern America
"Pesticide, switchgrass","Pesticide, switchgrass@Northern America","Pesticide, switchgrass@Pesticide, switchgrass@Northern America",Northern America
"Petroleum coke, at refinery","Petroleum coke, at refinery@Petroleum refining, at refinery","Petroleum coke, at refinery@Petroleum refining, at refinery@Northern America",Northern America
"Petroleum refining coproduct, at refinery","Petroleum refining coproduct, at refinery@Petroleum refining, at refinery","Petroleum refining coproduct, at refinery@Petroleum refining, at refinery@Northern America",Northern America
"Petroleum refining, for olefins production, at plant","Petroleum refining, for olefins production, at plant@Northern America","Petroleum refining, for olefins production, at plant@Petroleum refining, for olefins production, at plant@Northern America",Northern America
"Phenol formaldehyde resin, neat, 47% solids","Phenol formaldehyde resin, neat, 47% solids@Northern America","Phenol formaldehyde resin, neat, 47% solids@Phenol formaldehyde resin, neat, 47% solids@Northern America",Northern America
"Phenol formaldehyde, at plant","Phenol formaldehyde, at plant@Northern America","Phenol formaldehyde, at plant@Phenol formaldehyde, at plant@Northern America",Northern America
"Phenol resorcinol formaldehyde hardener, at plant","Phenol resorcinol formaldehyde hardener, at plant@Northern America","Phenol resorcinol formaldehyde hardener, at plant@Phenol resorcinol formaldehyde hardener, at plant@Northern America",Northern America
"Phenol resorcinol formaldehyde resin, at plant","Phenol resorcinol formaldehyde resin, at plant@Northern America","Phenol resorcinol formaldehyde resin, at plant@Phenol resorcinol formaldehyde resin, at plant@Northern America",Northern America
"Phenol resorcinol formaldehyde resin, neat, 60% solids","Phenol resorcinol formaldehyde resin, neat, 60% solids@Northern America","Phenol resorcinol formaldehyde resin, neat, 60% solids@Phenol resorcinol formaldehyde resin, neat, 60% solids@Northern America",Northern America
"Phosphorous fertilizer, production mix, at plant","Phosphorous fertilizer, production mix, at plant@Northern America","Phosphorous fertilizer, production mix, at plant@Phosphorous fertilizer, production mix, at plant@Northern America",Northern America
"Pins and fines, at cellulosic fiberboard plant","Pins and fines, at cellulosic fiberboard plant@Cellulosic fiberboard, uncoated, at plant","Pins and fines, at cellulosic fiberboard plant@Cellulosic fiberboard, uncoated, at plant@Northern America",Northern America
"Planting, switchgrass, 2022","Planting, switchgrass, 2022@Northern America","Planting, switchgrass@Planting, switchgrass, 2022@Northern America",Northern America
"Plywood, from open molding, for shipping","Plywood, from open molding, for shipping@Open molding, rigid composites part, at plant","Plywood, from open molding, for shipping@Open molding, rigid composites part, at plant@Northern America",Northern America
"Poles, softwood, PCP treated","Poles, softwood, PCP treated@Northern America","Poles, softwood, PCP treated@Poles, softwood, PCP treated@Northern America",Northern America
"Polybutadiene, butadiene rubber, BR, at plant","Polybutadiene, butadiene rubber, BR, at plant@Northern America","Polybutadiene, butadiene rubber, BR, at plant@Polybutadiene, butadiene rubber, BR, at plant@Northern America",Northern America
"Polyethylene terephthalate, PET, virgin resin, at plant, kg","Polyethylene terephthalate, PET, virgin resin, at plant, kg@Polyethylene terephthalate, PET, virgin resin, at plant, kg","Polyethylene terephthalate, PET, virgin resin, at plant, kg@Polyethylene terephthalate, PET, virgin resin, at plant, kg@Northern America",Northern America
"Polyethylene, high density, HDPE, resin, at plant","Polyethylene, high density, HDPE, resin, at plant@Polyethylene, high density, HDPE, resin, at plant","Polyethylene, high density, HDPE, resin, at plant@Polyethylene, high density, HDPE, resin, at plant@Northern America",Northern America
"Polyethylene, high density, HDPE, virgin resin, at plant","Polyethylene, high density, HDPE, virgin resin, at plant@Polyethylene, high density, HDPE, virgin resin, at plant","Polyethylene, high density, HDPE, virgin resin, at plant@Polyethylene, high density, HDPE, virgin resin, at plant@Northern America",Northern America
"Polyethylene, linear low density, LLDPE, resin, at plant","Polyethylene, linear low density, LLDPE, resin, at plant@Polyethylene, linear low density, LLDPE, resin, at plant","Polyethylene, linear low density, LLDPE, resin, at plant@Polyethylene, linear low density, LLDPE, resin, at plant@Northern America",Northern America
"Polyethylene, linear low-density, LLDPE, virgin resin, at plant","Polyethylene, linear low-density, LLDPE, virgin resin, at plant@Polyethylene, linear low-density, LLDPE, virgin resin, at plant","Polyethylene, linear low-density, LLDPE, virgin resin, at plant@Polyethylene, linear low-density, LLDPE, virgin resin, at plant@Northern America",Northern America
"Polyethylene, low-density, LDPE, virgin resin, at plant","Polyethylene, low-density, LDPE, virgin resin, at plant@Polyethylene, low-density, LDPE, virgin resin, at plant","Polyethylene, low-density, LDPE, virgin resin, at plant@Polyethylene, low-density, LDPE, virgin resin, at plant@Northern America",Northern America
"Polylactide, PLA, biopolymer resin, at plant","Polylactide, PLA, biopolymer resin, at plant@Northern America","Polylactide, PLA, biopolymer resin, at plant@Polylactide, PLA, biopolymer resin, at plant@Northern America",Northern America
"Polyol ether, for flexible foam polyurethane production, at plant","Polyol ether, for flexible foam polyurethane production, at plant@Northern America","Polyol ether, for flexible foam polyurethane production, at plant@Polyol ether, for flexible foam polyurethane production, at plant@Northern America",Northern America
"Polyol ether, for rigid foam polyurethane production, at plant","Polyol ether, for rigid foam polyurethane production, at plant@Polyol ether, for rigid foam polyurethane production, at plant","Polyol ether, for rigid foam polyurethane production, at plant@Polyol ether, for rigid foam polyurethane production, at plant@Northern America",Northern America
"Polypropylene scrap, from PP injection molding, at plant","Polypropylene scrap, from PP injection molding, at plant@Injection molding, rigid polypropylene part, at plant","Polypropylene scrap, from PP injection molding, at plant@Injection molding, rigid polypropylene part, at plant@Northern America",Northern America
"Polypropylene scrap, from PP thermoforming, at plant","Polypropylene scrap, from PP thermoforming, at plant@Thermoforming, rigid polypropylene part, at plant","Polypropylene scrap, from PP thermoforming, at plant@Thermoforming, rigid polypropylene part, at plant@Northern America",Northern America
"Polypropylene, PP, resin, at plant","Polypropylene, PP, resin, at plant@Polypropylene, PP, resin, at plant","Polypropylene, PP, resin, at plant@Polypropylene, PP, resin, at plant@Northern America",Northern America
"Polystyrene, exapnded, EPS, virgin resin; batch suspension polymerization; industry average, at plant","Polystyrene, exapnded, EPS, virgin resin; batch suspension polymerization; industry average, at plant@Polystyrene, expanded, EPS, virgin resin; batch suspension polymerization; industry average, at plant","Polystyrene, exapnded, EPS, virgin resin; batch suspension polymerization; industry average, at plant@Polystyrene, expanded, EPS, virgin resin; batch suspension polymerization; industry average, at plant@Northern America",Northern America
"Polystyrene, general purpose, GPPS, at plant","Polystyrene, general purpose, GPPS, at plant@Polystyrene, general purpose, GPPS, at plant","Polystyrene, general purpose, GPPS, at plant@Polystyrene, general purpose, GPPS, at plant@Northern America",Northern America
