scenario,behavior,characteristics,mean,standard_deviation,min,max,value_absence,value_presence,independent_charac,booleans,strings
Delaware,trash,ds,0.0,1e-06,0.0,1.0,0,1,True,,
Delaware,trash,err,0.0,1e-06,-1.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
Delaware,trash,households,632.9651568,63.88850174,527.1550523,738.9059233,,,True,,
Delaware,trash,ht,1.0,1e-06,0.0,1.0,0,1,True,,
Delaware,trash,kn,1.0,1e-06,0.0,1.0,0,1,True,,
Delaware,trash,name,,,,,,,,,trash
Delaware,trash,ns,0.0,1e-06,0.0,1.0,0,1,True,,
Delaware,trash,pbc,1.0,1e-06,0.0,1.0,0,1,True,,
Delaware,trash,pr,0.876712329,1e-06,0.0,1.0,0,1,True,,
Delaware,trash,sn,0.876712329,1e-06,0.0,1.0,recycling,trash,False,,
Delaware,wishcycling,att,0.0,0.1,0.0,1.0,0,1,True,,
Delaware,wishcycling,availability,,,,,,,,True,
Delaware,wishcycling,bin,0.72,0.1,0.0,1.0,0,1,True,,
Delaware,wishcycling,ds,0.0,1e-06,0.0,1.0,0,1,True,,
Delaware,wishcycling,err,-2.0,0.0500409052078838,-2.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
Delaware,wishcycling,households,632.9651568,63.88850174,527.1550523,738.9059233,,,True,,
Delaware,wishcycling,ht,0.760100525,0.124877658,0.0,1.0,0,1,True,,
Delaware,wishcycling,kn,0.275984023,0.062754639,0.0,1.0,0,1,True,,
Delaware,wishcycling,name,,,,,,,,,wishcycling
Delaware,wishcycling,ns,0.729426316,1e-06,0.0,1.0,0,1,True,,
Delaware,wishcycling,pbc,0.0,1e-06,0.0,1.0,0,1,True,,
Delaware,wishcycling,pr,0.0205479453333333,1e-06,0.0,1.0,0,1,True,,
Delaware,wishcycling,sn,0.0205479453333333,1e-06,0.0,1.0,trash,wishcycling,False,,
Florida,recycling,att,0.84,0.1,0.0,1.0,0,1,True,,
Florida,recycling,availability,,,,,,,,True,
Florida,recycling,bin,0.72,0.1,0.0,1.0,0,1,True,,
Florida,recycling,ds,0.032887016,1e-06,0.0,1.0,0,1,True,,
Florida,recycling,err,-1.0,0.0500409052078838,-1.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
Florida,recycling,households,676.1327565,74.318301,553.1948086,799.2068694,,,True,,
Florida,recycling,ht,0.634002203,0.120704074,0.0,1.0,0,1,True,,
Florida,recycling,kn,0.311045652,0.070005677,0.0,1.0,0,1,True,,
Florida,recycling,name,,,,,,,,,recycling
Florida,recycling,ns,0.654702388,1e-06,0.0,1.0,0,1,True,,
Florida,recycling,pbc,0.0,1e-06,0.0,1.0,0,1,True,,
Florida,recycling,pr,0.0799086766666666,1e-06,0.0,1.0,0,1,True,,
Florida,recycling,sn,0.0799086766666666,1e-06,0.0,1.0,trash,recycling,False,,
Florida,trash,att,0.0,1e-06,0.0,1.0,0,1,True,,
Florida,trash,availability,,,,,,,,True,
Florida,trash,bin,1.0,1e-06,0.0,1.0,0,1,True,,
Florida,trash,ds,0.0,1e-06,0.0,1.0,0,1,True,,
Florida,trash,err,0.0,1e-06,-1.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
Florida,trash,households,676.1327565,74.318301,553.1948086,799.2068694,,,True,,
Florida,trash,ht,1.0,1e-06,0.0,1.0,0,1,True,,
Florida,trash,kn,1.0,1e-06,0.0,1.0,0,1,True,,
Florida,trash,name,,,,,,,,,trash
Florida,trash,ns,0.0,1e-06,0.0,1.0,0,1,True,,
Florida,trash,pbc,1.0,1e-06,0.0,1.0,0,1,True,,
Florida,trash,pr,0.904109589,1e-06,0.0,1.0,0,1,True,,
Florida,trash,sn,0.904109589,1e-06,0.0,1.0,recycling,trash,False,,
Florida,wishcycling,att,0.0,0.1,0.0,1.0,0,1,True,,
Florida,wishcycling,availability,,,,,,,,True,
Florida,wishcycling,bin,0.72,0.1,0.0,1.0,0,1,True,,
Florida,wishcycling,ds,0.032887016,1e-06,0.0,1.0,0,1,True,,
Florida,wishcycling,err,-2.0,0.0500409052078838,-2.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
Florida,wishcycling,households,676.1327565,74.318301,553.1948086,799.2068694,,,True,,
Florida,wishcycling,ht,0.634002203,0.120704074,0.0,1.0,0,1,True,,
Florida,wishcycling,kn,0.311045652,0.070005677,0.0,1.0,0,1,True,,
Florida,wishcycling,name,,,,,,,,,wishcycling
Florida,wishcycling,ns,0.654702388,1e-06,0.0,1.0,0,1,True,,
Florida,wishcycling,pbc,0.0,1e-06,0.0,1.0,0,1,True,,
Florida,wishcycling,pr,0.0159817353333333,1e-06,0.0,1.0,0,1,True,,
Florida,wishcycling,sn,0.0159817353333333,1e-06,0.0,1.0,trash,wishcycling,False,,
Georgia,recycling,att,0.84,0.1,0.0,1.0,0,1,True,,
Georgia,recycling,availability,,,,,,,,True,
Georgia,recycling,bin,0.72,0.1,0.0,1.0,0,1,True,,
Georgia,recycling,ds,0.347855724,1e-06,0.0,1.0,0,1,True,,
Georgia,recycling,err,-1.0,0.0500409052078838,-1.0,1.0,function_based_truncnorm,function_based_truncnorm,True,,
Georgia,recycling,households,679.3417676,78.75040665,549.04681,809.6985361,,,True,,
Georgia,recycling,ht,0.702645773,0.126656788,0.0,1.0,0,1,True,,
Georgia,recycling,kn,0.295004643,0.068671118,0.0,1.0,0,1,True,,
Georgia,recycling,name,,,,,,,,,recycling
